service,min_rub,max_rub,typical_rub,data_source,note
Тонировка полная (седан),999,9000,7000,"скрейп-сэмплы + рынок","999-1000 = ""от"" (задняя/эконом); ""в круг седан"" 9000 (Тонировка Босс); премиум-плёнка выше"
Тонировка задняя полусфера,999,3500,2500,"скрейп + рынок","Protoner/AlarmStore ""от 999-1000"""
Оклейка фар (плёнка),2000,4000,3000,"скрейп","Точка оклейки 2000; VinilLab 4000"
Полировка фар,1000,2500,1500,"скрейп + рынок","Без вмятин 1000"
Оклейка ГОСТ (передние стёкла),4000,4000,4000,"скрейп","Оклеем-такси"
Антихром,1500,8000,4000,"скрейп + рынок","VinilLab ""от 1500"" (за элемент)"
Оклейка PPF частичная (передок),53000,85000,70000,"скрейп","Впленке 85000; ""бронь зон риска"" 2в 53000"
Оклейка PPF полная (полиуретан кузов),210000,280000,240000,"скрейп","Diamond ""от 210000""; Detail Inspector 280000"
Оклейка цветная/винил полная,60000,150000,90000,"рынок (сэмплы = ""от"" за деталь)","Aerf 789/Wrap 4999/Брендрайв 2500 — это teaser за элемент, не полная"
Химчистка/детейлинг салона,2000,20000,12000,"скрейп","экспресс-уборка 2000 (Aerf); комплексная химчистка 18000-20000 (Detail Inspector/Diamond)"
Детейлинг-мойка комплекс,1000,10000,6000,"скрейп","Бастион ""от 1000""; Cleanlab 6000; подкапот 10000 (Favorit)"
Керамика кузов,15000,40000,25000,"скрейп-акция + рынок","Фортуна Кастом акция 15000; премиум-составы 30000-40000"
Полировка кузова,8000,25000,15000,"рынок (нет прямого сэмпла)","в выдаче не публикуют цену — оценка по рынку ЮАО"
Шумоизоляция локальная,15000,35000,25000,"рынок (НЕТ сэмплов)","профильных студий шумки в 5км мало — цены не в выдаче; НИША"
Шумоизоляция комплексная,60000,130000,90000,"рынок (НЕТ сэмплов)","то же — рыночная оценка"
Автозвук установка (работа),5000,60000,20000,"рынок (НЕТ сэмплов)","магазин+установка индивидуально; на картах цену не дают"
